,tt1843866,tt1375666,tt1504320,tt1074638,tt1951264,tt2084970,tt2096673,tt1201607,tt1853728,tt3659388,tt1170358,tt2582802,tt0993846,tt2395427,tt1392214,tt1663202,tt0848228,tt2267998,tt3501632,tt1431045,tt1270798,tt0770828,tt4154796,tt1045658,tt0903624,tt1631867,tt0800369,tt1228705,tt0947798,tt2488496,tt1392170,tt0435761,tt2975590,tt0816711,tt0458339,tt1675434,tt7286456,tt1130884,tt2024544,tt4154756,tt1285016,tt1386697,tt1981115,tt0892769,tt1670345,tt2802144,tt1392190,tt3498820,tt1825683,tt1877832,tt3315342,tt2015381,tt1300854,tt2278388,tt2543164,tt1211837,tt1345836,tt0454876,tt0816692,tt1454468
tt1843866,0.9999999999999999,0.39987210500186104,-0.034174045972141465,0.3663486780752055,0.8372091852040586,0.7214239482265515,0.6108680484661487,0.4074594200449681,0.46460337158288706,0.8599139327232697,0.5829208311996944,0.8635627368434,0.9791780129669162,0.6912042919549106,0.03849068621797574,-0.16585168859740887,0.9571062239493208,-0.5498720640546418,0.8134943102271897,0.7632743422776601,-0.06998161839153536,0.7748344280450667,0.48097071575239253,0.6838549555269857,0.20087329048288613,0.9132299561960685,0.6829317370727023,0.6493017141847448,-0.6522838867409151,-0.4805509222695885,0.6334754448548813,0.9329215274467544,0.5978180947752754,0.9278118312699266,0.8159732246318351,0.3583522091267211,-0.3850351150047306,0.4062567874024184,0.7630645818071395,0.7667603800196661,0.9008856626777564,-0.41145665386912456,0.9017737324652859,0.743160470841122,0.8979083584996366,-0.05468503704515225,0.9318572908161321,-0.43628694412355445,0.8326060024306179,0.9663617905962084,0.6388450845505439,0.9233014783478282,0.8229219785531785,0.9507293085548932,0.5665025709343078,0.6012451569677951,0.9449168704457784,0.8901060262882463,0.9609490730875494,0.6333850717130026
tt1375666,0.39987210500186104,1.0000000000000002,0.6568019929675021,0.11409184709547676,-0.01861683315361757,0.42291952375970143,0.7747495970169516,-0.4488827452205381,0.1694501723825963,0.0814072769514351,0.03701945744206278,0.04249484512343356,0.26251832130968783,0.7803897516882374,0.05555395592439707,-0.41775891955807304,0.32399225683948507,-0.011741354041086722,0.3229019534379631,0.521771330559917,0.41105174841867004,0.4834954516653406,-0.04828683016348384,0.7200740505506839,-0.5522922085344447,0.3214009432387613,0.8551207605251319,0.7076623314049926,0.19733613322269036,0.6054648890521428,0.6457072644461131,0.28884769446167746,0.5431055603562662,0.2244756735183331,-0.09453567317543532,-0.33819490389454687,0.43850338599217614,0.20491396993170907,-0.22850342287501887,0.30892058480269063,0.44662131008144124,-0.5673423721853815,0.12766430557192146,-0.10850024795184819,0.11584251768046494,-0.860034684640062,0.19622276895909999,-0.6315572875457531,0.37404356764739033,0.23616159967511038,0.7701290604164978,0.11149936432968517,-0.09267294473453981,0.2458551962855927,-0.2676203551256549,0.002510831164573804,0.24217001204818503,0.15033417573501684,0.2375447821898696,0.9186682011261011
tt1504320,-0.034174045972141465,0.6568019929675021,1.0000000000000002,0.009285383271545187,-0.2937773077436366,0.42665470969868086,0.5622083405311743,-0.7278777413474975,-0.5669150191020946,-0.10242163786454639,-0.4496436394415121,-0.35929043467004224,-0.21969087885315738,0.6843422188178289,0.32698474015397105,-0.7386816075878563,0.09296453456731042,-0.05963358715792678,0.34045601523830005,0.45771125120994477,0.6779226431046242,0.3566057996547495,-0.27774767212004026,0.4940500831931255,-0.733662635817875,-0.18699388124961663,0.51701536610416,-0.051576744215752625,0.12500783970852192,0.7044184657074957,0.6704849789451077,0.09753279511188974,0.6967270697315125,-0.16429322391641696,-0.34913839709257427,-0.705911414770296,0.6336604045542966,0.34672984440456023,-0.6340725590853874,-0.41958259166320977,0.2750682955421976,-0.13682188080720406,-0.277222960494699,-0.20879436421021744,-0.25781442954966177,-0.7213066831267403,-0.36951665258152155,-0.5047800157224809,0.2592024684538358,-0.10609631460645691,0.714928093006765,-0.21491966118536165,-0.4971790876295006,-0.00020507040823921705,-0.11423637107345933,0.24424580232856405,-0.029342216624515194,-0.055860710461811076,-0.08687220943052537,0.6332735933680449
tt1074638,0.3663486780752055,0.11409184709547676,0.009285383271545187,1.0,0.6493117476801412,0.7067153740697791,0.6708047766193926,-0.15376593943927674,-0.0821667373289653,0.6777348985522679,0.7621840747000832,0.05012212759649003,0.30149759395923087,0.3675221103129715,0.8463417438662675,-0.4835261652220432,0.2856559485112626,-0.8177515494967146,0.49474538972179916,0.5101610291129494,0.5942258217720964,-0.08444782840756472,0.5571975838755868,0.700779606794882,0.4834593252967053,0.660980434815782,0.5467767051599743,0.2618668204812001,-0.3795442076255747,-0.13063853056820285,0.5573412236846207,0.5401007370743274,0.3802423779531863,0.6556380557550415,0.22281802740218934,-0.0659997292026956,-0.6954214925030398,0.8987132837111722,0.29727110843793403,-0.0013161287235626939,0.5717504828569357,-0.7893799041875452,0.5787280647007451,0.42466601316736674,0.4924498672870653,-0.06839005509387241,0.4179856773430987,-0.4959273395415608,-0.025469897998157985,0.5114741247312757,0.3401333314013751,0.34749974496381497,0.20504372699325316,0.4209277251333145,-0.10163966777691211,0.5998312705504171,0.5589774418005913,0.6518840155966493,0.4578166446172285,0.26036238841099946
tt1951264,0.8372091852040586,-0.01861683315361757,-0.2937773077436366,0.6493117476801412,1.0,0.7054834474572422,0.46360810309994555,0.40898187035168515,0.354699294993776,0.9528384132512278,0.7332483444528716,0.7113816010456776,0.859450375225875,0.4291902612859397,0.2941084416110599,-0.08735950025193132,0.8134543020054326,-0.8341819001584724,0.7743618306034453,0.6890593527060369,0.05192846463167154,0.4765124559695289,0.5307428376786897,0.5542437151954283,0.5136373942383712,0.9073021098624724,0.45969319230384076,0.38696175140636324,-0.7203815045010373,-0.7113927641752672,0.49462917352235525,0.8825920517524793,0.46424791203662696,0.9552108490473691,0.7716357743700752,0.3272752097435759,-0.7428490230903626,0.5987015262722217,0.8759869049940822,0.5209940384417818,0.8037233723573666,-0.4600291542620255,0.9108619685114727,0.7749008524023564,0.8645781846889046,0.21514058460045263,0.8877907408281095,-0.4046894061303604,0.575194293873687,0.9144067945443265,0.39613871502465886,0.8398364840879704,0.7843250090094259,0.9049967184912041,0.5226497159669686,0.7337783668270571,0.9082219769324659,0.9374766573246122,0.8756665547323709,0.30103263599370716
tt2084970,0.7214239482265515,0.42291952375970143,0.42665470969868086,0.7067153740697791,0.7054834474572422,1.0000000000000002,0.8613636048284105,-0.08719881105702024,-0.18557620323731833,0.8470361123789003,0.47925054485616747,0.3953237450995802,0.594278500331964,0.8495541415632647,0.6562663954721483,-0.7372762309341772,0.7622205697664908,-0.7994418316029657,0.9288074482760331,0.8921750103488892,0.5261019719961205,0.5649916536131891,0.49057772956856927,0.9040654550182555,0.10553092339756918,0.7236882820500988,0.7861417015676448,0.2851536206585659,-0.6673956217891307,-0.14580656215541843,0.9451265311681821,0.8926977946207963,0.879248021989313,0.7843461274251959,0.5112074538979701,-0.09390831471127188,-0.34979135727511895,0.890486728351804,0.33162471651147185,0.1506920587737969,0.9483952079810373,-0.5408553188654265,0.7012439072802559,0.665410562213685,0.6816493381969476,-0.22227939611665415,0.5383059542189264,-0.6208066753443965,0.6163737754322557,0.785251410457512,0.8155358111582932,0.6585738267649639,0.3982201770870888,0.7810288256340375,0.3948247906298064,0.8924181149068108,0.8449659275751101,0.8643820395071498,0.7743132036407171,0.6613632448181184
tt2096673,0.6108680484661487,0.7747495970169516,0.5622083405311743,0.6708047766193926,0.46360810309994555,0.8613636048284105,0.9999999999999999,-0.3686841831836187,-0.020171270686721837,0.5851807377005809,0.4406062489615759,0.16777545481175818,0.4590901906731294,0.8983904812853439,0.5756868892900419,-0.6928302237290986,0.561251248055395,-0.5898876165951907,0.704532594445398,0.8142716619871972,0.6584206618981985,0.46087570270182626,0.32670887712798735,0.9924956770414743,-0.13308898337609643,0.6654729980668619,0.9731394466746561,0.5874984354660786,-0.2555934078687432,0.26521974184977937,0.9233737898250212,0.6768509465665287,0.7834260642364901,0.6325137389567578,0.19311907451953753,-0.2801467784708159,-0.0998049436477025,0.7649710676432813,0.07362585728947824,0.20819034538216277,0.8028507166634208,-0.796330844313863,0.5146928891165026,0.316358456722513,0.47037075740577156,-0.6154812791258525,0.43673864881834273,-0.7773206926364241,0.43417661432986826,0.5899545293173165,0.8733665427442944,0.41096752818454146,0.1421885435787114,0.5695111190195538,-0.04828733231193374,0.5442839858278261,0.634384840311281,0.622254031412211,0.567681604718245,0.8687586167556606
tt1201607,0.4074594200449681,-0.4488827452205381,-0.7278777413474975,-0.15376593943927674,0.40898187035168515,-0.08719881105702024,-0.3686841831836187,1.0,0.3928589811014726,0.38515441435390324,0.4270036852176415,0.7973144545526291,0.5293344743232296,-0.30274478438433944,-0.3427605920738025,0.372803347733417,0.3435312620897792,0.09358466714548365,0.04898371387052461,-0.20414801934666207,-0.8593910801241923,0.1046267799395398,0.5705171218151179,-0.2634716557758964,0.6836661246067224,0.34280285181456577,-0.32244470989481994,0.05875699653080578,-0.6057922877754838,-0.8204735803838367,-0.32057638079833145,0.30384594024915607,-0.32326803676003385,0.3856919968440684,0.8039775116484448,0.957114765523046,-0.549264312644924,-0.2550298215990867,0.7480203725353065,0.6239246020786391,0.12869144447575315,0.37233032848706027,0.5668424090613912,0.6681727918888338,0.6291504941666823,0.8002719021698853,0.555730630104237,0.603816275809462,0.25505393510927626,0.46881863161386655,-0.3859282317852488,0.6615758146860938,0.8448468892981769,0.32756256812177753,0.6595842801728762,0.10727661763259336,0.409084217665576,0.37643172368046884,0.508944720354209,-0.3807149494452016
tt1853728,0.46460337158288706,0.1694501723825963,-0.5669150191020946,-0.0821667373289653,0.354699294993776,-0.18557620323731833,-0.020171270686721837,0.3928589811014726,1.0,0.14438637689995354,0.3671879232971811,0.5000417710008361,0.5851760716688775,-0.040407739302129805,-0.5917556385289429,0.702967481876415,0.2939567961394569,0.04047032943222996,-0.04865093431853661,0.050657066017418095,-0.4428339526202021,0.24528422714406697,-0.02288136859033479,0.0017155134158047087,0.12454736298298175,0.4886007205615486,0.17094412210499854,0.7552332717718511,0.1523537678331827,-0.319848915490313,-0.22058611819754162,0.15059863746654714,-0.24952313078595284,0.3776470497075599,0.27849218598133285,0.3772506313293642,-0.16905001621743665,-0.3748259388043588,0.6007188198550539,0.841193367719269,0.07680608162641339,-0.3022774169527457,0.36619410071599423,0.0141394332622421,0.32141332779787124,-0.05884859820124641,0.6575180014697356,-0.14378403811056487,0.2174099914540429,0.3309157146591189,-0.04726993845516235,0.32107084528297397,0.4829846611123504,0.3282471299005852,-0.06381084210964766,-0.3379631425625275,0.22781605530468244,0.155326038948651,0.29400004353451503,0.19289940639089304
tt3659388,0.8599139327232697,0.0814072769514351,-0.10242163786454639,0.6777348985522679,0.9528384132512278,0.8470361123789003,0.5851807377005809,0.38515441435390324,0.14438637689995354,1.0,0.7260384819785292,0.7203905885436669,0.8327281688995964,0.561572721922621,0.4410621082274714,-0.35309367417883775,0.8525923577537629,-0.8145991329061114,0.8633439539370287,0.7387486466033462,0.11184763430597519,0.5140507048690026,0.6691400907129705,0.6770413342677551,0.4964072877759688,0.8960403219779997,0.5451453867740929,0.32971625376542935,-0.8481144864539168,-0.6182846036252924,0.6519936869418735,0.9586573541592243,0.595404784545165,0.9623463610888364,0.8244098689616182,0.3372541246108441,-0.7021842576965348,0.7188713229974059,0.7695996477240384,0.45337890126532476,0.9073621926569531,-0.42640452527972145,0.9421321905676181,0.8865059193617495,0.922073379325082,0.19670848261601148,0.8311296259243018,-0.3672109309389839,0.6286663247707229,0.9564773497149418,0.5070713785921869,0.8983678098262473,0.7791343715377197,0.9092220226699206,0.6033622475488338,0.8567877833403654,0.9732781183116278,0.996662044942648,0.940388977401829,0.3758055101504447
